,Country,Gender,Demographics Response,Question,Value
282,Albania,F,Urban,... if she neglects the children,3.6
283,Albania,F,Rural,... if she refuses to have sex with him,1.6
284,Albania,F,Urban,... if she refuses to have sex with him,0.5
350,Albania,M,Rural,... for at least one specific reason,12.9
351,Albania,M,Urban,... for at least one specific reason,10.2
352,Albania,M,Rural,... if she argues with him,3.2
353,Albania,M,Urban,... if she argues with him,4.7
354,Albania,M,Rural,... if she goes out without telling him,7.4
355,Albania,M,Urban,... if she goes out without telling him,5.9
356,Albania,M,Rural,... if she neglects the children,8.9
357,Albania,M,Urban,... if she neglects the children,7.4
358,Albania,M,Rural,... if she refuses to have sex with him,2.2
359,Albania,M,Urban,... if she refuses to have sex with him,2.0
362,Angola,F,Urban,... if she burns the food,6.9
374,Angola,F,Rural,... if she burns the food,19.0
378,Angola,M,Urban,... if she burns the food,4.9
387,Angola,M,Rural,... if she burns the food,8.9
455,Angola,F,Rural,... for at least one specific reason,37.4
456,Angola,F,Urban,... for at least one specific reason,19.8
457,Angola,F,Rural,... if she argues with him,26.2
458,Angola,F,Urban,... if she argues with him,10.4
459,Angola,F,Rural,... if she goes out without telling him,22.9
460,Angola,F,Urban,... if she goes out without telling him,10.8
461,Angola,F,Rural,... if she neglects the children,24.7
462,Angola,F,Urban,... if she neglects the children,12.6
463,Angola,F,Rural,... if she refuses to have sex with him,21.3
464,Angola,F,Urban,... if she refuses to have sex with him,7.2
530,Angola,M,Rural,... for at least one specific reason,26.7
531,Angola,M,Urban,... for at least one specific reason,17.5
532,Angola,M,Rural,... if she argues with him,15.7
533,Angola,M,Urban,... if she argues with him,8.9
534,Angola,M,Rural,... if she goes out without telling him,11.2
535,Angola,M,Urban,... if she goes out without telling him,7.1
536,Angola,M,Rural,... if she neglects the children,18.0
537,Angola,M,Urban,... if she neglects the children,9.2
538,Angola,M,Rural,... if she refuses to have sex with him,9.3
539,Angola,M,Urban,... if she refuses to have sex with him,4.1
543,Armenia,F,Urban,... if she burns the food,0.1
553,Armenia,F,Rural,... if she burns the food,0.8
565,Armenia,M,Rural,... if she burns the food,0.7
566,Armenia,M,Urban,... if she burns the food,0.7
635,Armenia,F,Rural,... for at least one specific reason,15.7
636,Armenia,F,Urban,... for at least one specific reason,6.3
637,Armenia,F,Rural,... if she argues with him,10.2
638,Armenia,F,Urban,... if she argues with him,3.4
639,Armenia,F,Rural,... if she goes out without telling him,9.3
640,Armenia,F,Urban,... if she goes out without telling him,2.5
641,Armenia,F,Rural,... if she neglects the children,13.4
642,Armenia,F,Urban,... if she neglects the children,5.4
643,Armenia,F,Rural,... if she refuses to have sex with him,1.2
644,Armenia,F,Urban,... if she refuses to have sex with him,0.5
710,Armenia,M,Rural,... for at least one specific reason,32.3
711,Armenia,M,Urban,... for at least one specific reason,15.1
712,Armenia,M,Rural,... if she argues with him,24.7
713,Armenia,M,Urban,... if she argues with him,9.5
714,Armenia,M,Rural,... if she goes out without telling him,17.7
715,Armenia,M,Urban,... if she goes out without telling him,7.1
716,Armenia,M,Rural,... if she neglects the children,23.9
717,Armenia,M,Urban,... if she neglects the children,12.0
718,Armenia,M,Rural,... if she refuses to have sex with him,2.2
719,Armenia,M,Urban,... if she refuses to have sex with him,1.2
721,Azerbaijan,F,Urban,... if she burns the food,5.8
731,Azerbaijan,F,Rural,... if she burns the food,20.3
737,Azerbaijan,M,Urban,... if she burns the food,3.3
749,Azerbaijan,M,Rural,... if she burns the food,11.8
815,Azerbaijan,F,Rural,... for at least one specific reason,56.35000000000001
816,Azerbaijan,F,Urban,... for at least one specific reason,40.0
817,Azerbaijan,F,Rural,... if she argues with him,42.4
818,Azerbaijan,F,Urban,... if she argues with him,22.8
819,Azerbaijan,F,Rural,... if she goes out without telling him,54.3
820,Azerbaijan,F,Urban,... if she goes out without telling him,33.4
821,Azerbaijan,F,Rural,... if she neglects the children,47.3
822,Azerbaijan,F,Urban,... if she neglects the children,24.8
823,Azerbaijan,F,Rural,... if she refuses to have sex with him,21.5
824,Azerbaijan,F,Urban,... if she refuses to have sex with him,8.6
890,Azerbaijan,M,Rural,... for at least one specific reason,56.35000000000001
891,Azerbaijan,M,Urban,... for at least one specific reason,55.4
892,Azerbaijan,M,Rural,... if she argues with him,52.5
893,Azerbaijan,M,Urban,... if she argues with him,51.1
894,Azerbaijan,M,Rural,... if she goes out without telling him,43.9
895,Azerbaijan,M,Urban,... if she goes out without telling him,37.1
896,Azerbaijan,M,Rural,... if she neglects the children,45.4
897,Azerbaijan,M,Urban,... if she neglects the children,26.4
898,Azerbaijan,M,Rural,... if she refuses to have sex with him,17.2
899,Azerbaijan,M,Urban,... if she refuses to have sex with him,7.4
903,Bangladesh,F,Urban,... if she burns the food,2.8
909,Bangladesh,F,Rural,... if she burns the food,4.9
928,Bangladesh,M,Rural,... if she burns the food,14.9
929,Bangladesh,M,Urban,... if she burns the food,14.9
995,Bangladesh,F,Rural,... for at least one specific reason,29.6
996,Bangladesh,F,Urban,... for at least one specific reason,24.8
997,Bangladesh,F,Rural,... if she argues with him,21.1
998,Bangladesh,F,Urban,... if she argues with him,17.1
999,Bangladesh,F,Rural,... if she goes out without telling him,15.3
1000,Bangladesh,F,Urban,... if she goes out without telling him,12.2
1001,Bangladesh,F,Rural,... if she neglects the children,15.6
1002,Bangladesh,F,Urban,... if she neglects the children,13.1
1003,Bangladesh,F,Rural,... if she refuses to have sex with him,7.8
1004,Bangladesh,F,Urban,... if she refuses to have sex with him,5.8
1070,Bangladesh,M,Rural,... for at least one specific reason,14.9
1071,Bangladesh,M,Urban,... for at least one specific reason,14.9
1072,Bangladesh,M,Rural,... if she argues with him,14.9
1073,Bangladesh,M,Urban,... if she argues with him,14.9
1074,Bangladesh,M,Rural,... if she goes out without telling him,14.9
1075,Bangladesh,M,Urban,... if she goes out without telling him,14.9
1076,Bangladesh,M,Rural,... if she neglects the children,14.9
1077,Bangladesh,M,Urban,... if she neglects the children,14.9
1078,Bangladesh,M,Rural,... if she refuses to have sex with him,14.9
1079,Bangladesh,M,Urban,... if she refuses to have sex with him,14.9
1082,Benin,F,Urban,... if she burns the food,11.2
1093,Benin,F,Rural,... if she burns the food,15.9
1096,Benin,M,Urban,... if she burns the food,3.7
1107,Benin,M,Rural,... if she burns the food,9.2
1175,Benin,F,Rural,... for at least one specific reason,36.6
1176,Benin,F,Urban,... for at least one specific reason,25.4
1177,Benin,F,Rural,... if she argues with him,24.3
1178,Benin,F,Urban,... if she argues with him,16.2
1179,Benin,F,Rural,... if she goes out without telling him,24.5
1180,Benin,F,Urban,... if she goes out without telling him,16.9
1181,Benin,F,Rural,... if she neglects the children,26.0
1182,Benin,F,Urban,... if she neglects the children,18.0
1183,Benin,F,Rural,... if she refuses to have sex with him,14.4
1184,Benin,F,Urban,... if she refuses to have sex with him,10.6
1250,Benin,M,Rural,... for at least one specific reason,19.0
1251,Benin,M,Urban,... for at least one specific reason,10.8
1252,Benin,M,Rural,... if she argues with him,12.7
1253,Benin,M,Urban,... if she argues with him,5.7
1254,Benin,M,Rural,... if she goes out without telling him,10.4
1255,Benin,M,Urban,... if she goes out without telling him,6.7
1256,Benin,M,Rural,... if she neglects the children,12.1
1257,Benin,M,Urban,... if she neglects the children,5.7
1258,Benin,M,Rural,... if she refuses to have sex with him,8.8
1259,Benin,M,Urban,... if she refuses to have sex with him,4.6
1261,Bolivia,F,Urban,... if she burns the food,2.2
1273,Bolivia,F,Rural,... if she burns the food,5.4
1288,Bolivia,M,Rural,... if she burns the food,14.9
1289,Bolivia,M,Urban,... if she burns the food,14.9
1355,Bolivia,F,Rural,... for at least one specific reason,20.1
1356,Bolivia,F,Urban,... for at least one specific reason,14.0
1357,Bolivia,F,Rural,... if she argues with him,7.7
1358,Bolivia,F,Urban,... if she argues with him,4.0
1359,Bolivia,F,Rural,... if she goes out without telling him,9.1
1360,Bolivia,F,Urban,... if she goes out without telling him,4.3
1361,Bolivia,F,Rural,... if she neglects the children,14.4
1362,Bolivia,F,Urban,... if she neglects the children,11.2
1363,Bolivia,F,Rural,... if she refuses to have sex with him,3.5
1364,Bolivia,F,Urban,... if she refuses to have sex with him,1.6
1430,Bolivia,M,Rural,... for at least one specific reason,14.9
1431,Bolivia,M,Urban,... for at least one specific reason,14.9
1432,Bolivia,M,Rural,... if she argues with him,14.9
1433,Bolivia,M,Urban,... if she argues with him,14.9
1434,Bolivia,M,Rural,... if she goes out without telling him,14.9
1435,Bolivia,M,Urban,... if she goes out without telling him,14.9
1436,Bolivia,M,Rural,... if she neglects the children,14.9
1437,Bolivia,M,Urban,... if she neglects the children,14.9
1438,Bolivia,M,Rural,... if she refuses to have sex with him,14.9
1439,Bolivia,M,Urban,... if she refuses to have sex with him,14.9
1442,Burkina Faso,F,Urban,... if she burns the food,5.9
1453,Burkina Faso,F,Rural,... if she burns the food,11.2
1459,Burkina Faso,M,Urban,... if she burns the food,6.2
1464,Burkina Faso,M,Rural,... if she burns the food,8.0
1535,Burkina Faso,F,Rural,... for at least one specific reason,47.0
1536,Burkina Faso,F,Urban,... for at least one specific reason,33.9
1537,Burkina Faso,F,Rural,... if she argues with him,34.5
1538,Burkina Faso,F,Urban,... if she argues with him,20.9
1539,Burkina Faso,F,Rural,... if she goes out without telling him,34.3
1540,Burkina Faso,F,Urban,... if she goes out without telling him,19.6
1541,Burkina Faso,F,Rural,... if she neglects the children,33.3
1542,Burkina Faso,F,Urban,... if she neglects the children,22.6
1543,Burkina Faso,F,Rural,... if she refuses to have sex with him,22.5
1544,Burkina Faso,F,Urban,... if she refuses to have sex with him,12.0
1610,Burkina Faso,M,Rural,... for at least one specific reason,38.9
1611,Burkina Faso,M,Urban,... for at least one specific reason,22.8
1612,Burkina Faso,M,Rural,... if she argues with him,23.3
1613,Burkina Faso,M,Urban,... if she argues with him,12.3
1614,Burkina Faso,M,Rural,... if she goes out without telling him,20.9
1615,Burkina Faso,M,Urban,... if she goes out without telling him,10.1
1616,Burkina Faso,M,Rural,... if she neglects the children,22.6
1617,Burkina Faso,M,Urban,... if she neglects the children,14.1
1618,Burkina Faso,M,Rural,... if she refuses to have sex with him,13.2
1619,Burkina Faso,M,Urban,... if she refuses to have sex with him,5.4
1621,Burundi,F,Urban,... if she burns the food,11.1
1629,Burundi,F,Rural,... if she burns the food,23.6
1636,Burundi,M,Urban,... if she burns the food,2.4
1642,Burundi,M,Rural,... if she burns the food,5.4
1715,Burundi,F,Rural,... for at least one specific reason,56.35000000000001
1716,Burundi,F,Urban,... for at least one specific reason,46.5
1717,Burundi,F,Rural,... if she argues with him,32.1
1718,Burundi,F,Urban,... if she argues with him,17.0
1719,Burundi,F,Rural,... if she goes out without telling him,41.2
1720,Burundi,F,Urban,... if she goes out without telling him,25.8
1721,Burundi,F,Rural,... if she neglects the children,53.6
1722,Burundi,F,Urban,... if she neglects the children,39.2
1723,Burundi,F,Rural,... if she refuses to have sex with him,44.1
1724,Burundi,F,Urban,... if she refuses to have sex with him,25.9
1790,Burundi,M,Rural,... for at least one specific reason,36.5
1791,Burundi,M,Urban,... for at least one specific reason,26.1
1792,Burundi,M,Rural,... if she argues with him,10.9
1793,Burundi,M,Urban,... if she argues with him,6.1
1794,Burundi,M,Rural,... if she goes out without telling him,18.1
1795,Burundi,M,Urban,... if she goes out without telling him,12.1
1796,Burundi,M,Rural,... if she neglects the children,27.2
1797,Burundi,M,Urban,... if she neglects the children,19.9
1798,Burundi,M,Rural,... if she refuses to have sex with him,14.4
1799,Burundi,M,Urban,... if she refuses to have sex with him,8.1
1801,Cambodia,F,Urban,... if she burns the food,6.5
1810,Cambodia,F,Rural,... if she burns the food,12.9
1818,Cambodia,M,Urban,... if she burns the food,1.0
1824,Cambodia,M,Rural,... if she burns the food,2.0
1895,Cambodia,F,Rural,... for at least one specific reason,52.7
1896,Cambodia,F,Urban,... for at least one specific reason,37.0
1897,Cambodia,F,Rural,... if she argues with him,26.0
1898,Cambodia,F,Urban,... if she argues with him,14.4
1899,Cambodia,F,Rural,... if she goes out without telling him,33.5
1900,Cambodia,F,Urban,... if she goes out without telling him,21.5
1901,Cambodia,F,Rural,... if she neglects the children,46.2
1902,Cambodia,F,Urban,... if she neglects the children,32.7
1903,Cambodia,F,Rural,... if she refuses to have sex with him,14.2
1904,Cambodia,F,Urban,... if she refuses to have sex with him,6.3
1970,Cambodia,M,Rural,... for at least one specific reason,28.8
1971,Cambodia,M,Urban,... for at least one specific reason,12.6
1972,Cambodia,M,Rural,... if she argues with him,12.6
1973,Cambodia,M,Urban,... if she argues with him,4.3
1974,Cambodia,M,Rural,... if she goes out without telling him,13.9
1975,Cambodia,M,Urban,... if she goes out without telling him,5.6
1976,Cambodia,M,Rural,... if she neglects the children,21.3
1977,Cambodia,M,Urban,... if she neglects the children,8.3
1978,Cambodia,M,Rural,... if she refuses to have sex with him,4.3
1979,Cambodia,M,Urban,... if she refuses to have sex with him,1.6
1981,Cameroon,F,Urban,... if she burns the food,8.6
1993,Cameroon,F,Rural,... if she burns the food,19.5
1996,Cameroon,M,Urban,... if she burns the food,5.9
2009,Cameroon,M,Rural,... if she burns the food,12.9
2075,Cameroon,F,Rural,... for at least one specific reason,53.9
2076,Cameroon,F,Urban,... for at least one specific reason,40.1
2077,Cameroon,F,Rural,... if she argues with him,28.1
2078,Cameroon,F,Urban,... if she argues with him,14.4
2079,Cameroon,F,Rural,... if she goes out without telling him,34.3
2080,Cameroon,F,Urban,... if she goes out without telling him,19.9
2081,Cameroon,F,Rural,... if she neglects the children,42.4
2082,Cameroon,F,Urban,... if she neglects the children,33.1
2083,Cameroon,F,Rural,... if she refuses to have sex with him,20.7
2084,Cameroon,F,Urban,... if she refuses to have sex with him,8.4
2150,Cameroon,M,Rural,... for at least one specific reason,43.5
2151,Cameroon,M,Urban,... for at least one specific reason,34.9
2152,Cameroon,M,Rural,... if she argues with him,22.8
2153,Cameroon,M,Urban,... if she argues with him,13.6
2154,Cameroon,M,Rural,... if she goes out without telling him,27.0
2155,Cameroon,M,Urban,... if she goes out without telling him,16.7
2156,Cameroon,M,Rural,... if she neglects the children,32.3
2157,Cameroon,M,Urban,... if she neglects the children,26.2
2158,Cameroon,M,Rural,... if she refuses to have sex with him,11.6
2159,Cameroon,M,Urban,... if she refuses to have sex with him,4.6
2165,Chad,F,Urban,... if she burns the food,45.9
2169,Chad,F,Rural,... if she burns the food,49.4
2176,Chad,M,Urban,... if she burns the food,21.6
2186,Chad,M,Rural,... if she burns the food,30.0
2255,Chad,F,Rural,... for at least one specific reason,56.35000000000001
2256,Chad,F,Urban,... for at least one specific reason,56.35000000000001
2257,Chad,F,Rural,... if she argues with him,50.2
2258,Chad,F,Urban,... if she argues with him,48.4
2259,Chad,F,Rural,... if she goes out without telling him,56.35000000000001
2260,Chad,F,Urban,... if she goes out without telling him,56.2
2261,Chad,F,Rural,... if she neglects the children,56.35000000000001
2262,Chad,F,Urban,... if she neglects the children,56.35000000000001
2263,Chad,F,Rural,... if she refuses to have sex with him,42.6
2264,Chad,F,Urban,... if she refuses to have sex with him,34.2
2330,Chad,M,Rural,... for at least one specific reason,51.6
2331,Chad,M,Urban,... for at least one specific reason,47.9
2332,Chad,M,Rural,... if she argues with him,23.3
2333,Chad,M,Urban,... if she argues with him,19.8
2334,Chad,M,Rural,... if she goes out without telling him,28.9
2335,Chad,M,Urban,... if she goes out without telling him,26.3
2336,Chad,M,Rural,... if she neglects the children,38.0
2337,Chad,M,Urban,... if she neglects the children,34.6
2338,Chad,M,Rural,... if she refuses to have sex with him,26.1
2339,Chad,M,Urban,... if she refuses to have sex with him,18.2
2344,Colombia,F,Urban,... if she burns the food,1.1
2351,Colombia,F,Rural,... if she burns the food,1.5
2356,Colombia,M,Urban,... if she burns the food,0.9
2368,Colombia,M,Rural,... if she burns the food,2.0
2435,Colombia,F,Rural,... for at least one specific reason,5.8
2436,Colombia,F,Urban,... for at least one specific reason,2.4
2437,Colombia,F,Rural,... if she argues with him,1.6
2438,Colombia,F,Urban,... if she argues with him,1.2
2439,Colombia,F,Rural,... if she goes out without telling him,1.8
2440,Colombia,F,Urban,... if she goes out without telling him,1.1
2441,Colombia,F,Rural,... if she neglects the children,4.3
2442,Colombia,F,Urban,... if she neglects the children,1.9
2443,Colombia,F,Rural,... if she refuses to have sex with him,1.4
2444,Colombia,F,Urban,... if she refuses to have sex with him,1.0
2510,Colombia,M,Rural,... for at least one specific reason,6.8
2511,Colombia,M,Urban,... for at least one specific reason,3.4
2512,Colombia,M,Rural,... if she argues with him,2.2
2513,Colombia,M,Urban,... if she argues with him,1.2
2514,Colombia,M,Rural,... if she goes out without telling him,2.6
2515,Colombia,M,Urban,... if she goes out without telling him,1.1
2516,Colombia,M,Rural,... if she neglects the children,5.0
2517,Colombia,M,Urban,... if she neglects the children,2.4
2518,Colombia,M,Rural,... if she refuses to have sex with him,2.1
2519,Colombia,M,Urban,... if she refuses to have sex with him,1.1
2521,Comoros,F,Urban,... if she burns the food,7.1
2533,Comoros,F,Rural,... if she burns the food,15.5
2539,Comoros,M,Urban,... if she burns the food,2.3
2543,Comoros,M,Rural,... if she burns the food,3.5
2615,Comoros,F,Rural,... for at least one specific reason,43.3
2616,Comoros,F,Urban,... for at least one specific reason,30.3
2617,Comoros,F,Rural,... if she argues with him,18.0
2618,Comoros,F,Urban,... if she argues with him,11.0
2619,Comoros,F,Rural,... if she goes out without telling him,31.3
2620,Comoros,F,Urban,... if she goes out without telling him,22.5
2621,Comoros,F,Rural,... if she neglects the children,32.7
2622,Comoros,F,Urban,... if she neglects the children,23.8
2623,Comoros,F,Rural,... if she refuses to have sex with him,23.4
2624,Comoros,F,Urban,... if she refuses to have sex with him,13.1
2690,Comoros,M,Rural,... for at least one specific reason,18.9
2691,Comoros,M,Urban,... for at least one specific reason,14.3
2692,Comoros,M,Rural,... if she argues with him,7.7
2693,Comoros,M,Urban,... if she argues with him,5.1
2694,Comoros,M,Rural,... if she goes out without telling him,7.8
2695,Comoros,M,Urban,... if she goes out without telling him,5.5
2696,Comoros,M,Rural,... if she neglects the children,9.3
2697,Comoros,M,Urban,... if she neglects the children,5.5
2698,Comoros,M,Rural,... if she refuses to have sex with him,8.3
2699,Comoros,M,Urban,... if she refuses to have sex with him,7.5
2713,Congo,F,Rural,... if she burns the food,14.9
2714,Congo,F,Urban,... if she burns the food,14.9
2728,Congo,M,Rural,... if she burns the food,14.9
2729,Congo,M,Urban,... if she burns the food,14.9
2795,Congo,F,Rural,... for at least one specific reason,56.35000000000001
2796,Congo,F,Urban,... for at least one specific reason,56.35000000000001
2797,Congo,F,Rural,... if she argues with him,14.9
2798,Congo,F,Urban,... if she argues with him,14.9
2799,Congo,F,Rural,... if she goes out without telling him,42.3
2800,Congo,F,Urban,... if she goes out without telling him,40.2
2801,Congo,F,Rural,... if she neglects the children,46.9
2802,Congo,F,Urban,... if she neglects the children,46.7
2803,Congo,F,Rural,... if she refuses to have sex with him,33.3
2804,Congo,F,Urban,... if she refuses to have sex with him,23.1
2870,Congo,M,Rural,... for at least one specific reason,43.1
2871,Congo,M,Urban,... for at least one specific reason,42.7
2872,Congo,M,Rural,... if she argues with him,14.9
2873,Congo,M,Urban,... if she argues with him,14.9
2874,Congo,M,Rural,... if she goes out without telling him,25.1
2875,Congo,M,Urban,... if she goes out without telling him,21.0
2876,Congo,M,Rural,... if she neglects the children,29.8
2877,Congo,M,Urban,... if she neglects the children,31.7
2878,Congo,M,Rural,... if she refuses to have sex with him,16.8
2879,Congo,M,Urban,... if she refuses to have sex with him,11.6
2881,Congo Democratic Republic,F,Urban,... if she burns the food,20.8
2893,Congo Democratic Republic,F,Rural,... if she burns the food,26.6
2897,Congo Democratic Republic,M,Urban,... if she burns the food,11.7
2906,Congo Democratic Republic,M,Rural,... if she burns the food,17.2
2975,Congo Democratic Republic,F,Rural,... for at least one specific reason,56.35000000000001
2976,Congo Democratic Republic,F,Urban,... for at least one specific reason,56.35000000000001
2977,Congo Democratic Republic,F,Rural,... if she argues with him,56.35000000000001
2978,Congo Democratic Republic,F,Urban,... if she argues with him,54.0
2979,Congo Democratic Republic,F,Rural,... if she goes out without telling him,51.6
2980,Congo Democratic Republic,F,Urban,... if she goes out without telling him,45.1
2981,Congo Democratic Republic,F,Rural,... if she neglects the children,51.4
2982,Congo Democratic Republic,F,Urban,... if she neglects the children,51.5
2983,Congo Democratic Republic,F,Rural,... if she refuses to have sex with him,48.4
2984,Congo Democratic Republic,F,Urban,... if she refuses to have sex with him,35.6
3050,Congo Democratic Republic,M,Rural,... for at least one specific reason,56.35000000000001
3051,Congo Democratic Republic,M,Urban,... for at least one specific reason,56.35000000000001
3052,Congo Democratic Republic,M,Rural,... if she argues with him,44.2
3053,Congo Democratic Republic,M,Urban,... if she argues with him,38.9
3054,Congo Democratic Republic,M,Rural,... if she goes out without telling him,34.7
3055,Congo Democratic Republic,M,Urban,... if she goes out without telling him,29.0
3056,Congo Democratic Republic,M,Rural,... if she neglects the children,40.3
3057,Congo Democratic Republic,M,Urban,... if she neglects the children,39.8
3058,Congo Democratic Republic,M,Rural,... if she refuses to have sex with him,27.7
3059,Congo Democratic Republic,M,Urban,... if she refuses to have sex with him,16.1
3063,Cote d'Ivoire,F,Urban,... if she burns the food,12.8
3074,Cote d'Ivoire,F,Rural,... if she burns the food,20.1
3082,Cote d'Ivoire,M,Rural,... if she burns the food,12.3
3083,Cote d'Ivoire,M,Urban,... if she burns the food,12.8
3155,Cote d'Ivoire,F,Rural,... for at least one specific reason,53.1
3156,Cote d'Ivoire,F,Urban,... for at least one specific reason,43.0
3157,Cote d'Ivoire,F,Rural,... if she argues with him,39.7
3158,Cote d'Ivoire,F,Urban,... if she argues with him,29.2
3159,Cote d'Ivoire,F,Rural,... if she goes out without telling him,32.6
3160,Cote d'Ivoire,F,Urban,... if she goes out without telling him,20.8
3161,Cote d'Ivoire,F,Rural,... if she neglects the children,36.6
3162,Cote d'Ivoire,F,Urban,... if she neglects the children,29.1
3163,Cote d'Ivoire,F,Rural,... if she refuses to have sex with him,26.5
3164,Cote d'Ivoire,F,Urban,... if she refuses to have sex with him,16.8
3230,Cote d'Ivoire,M,Rural,... for at least one specific reason,43.7
3231,Cote d'Ivoire,M,Urban,... for at least one specific reason,40.3
3232,Cote d'Ivoire,M,Rural,... if she argues with him,28.1
3233,Cote d'Ivoire,M,Urban,... if she argues with him,23.4
3234,Cote d'Ivoire,M,Rural,... if she goes out without telling him,25.3
3235,Cote d'Ivoire,M,Urban,... if she goes out without telling him,18.9
3236,Cote d'Ivoire,M,Rural,... if she neglects the children,29.5
3237,Cote d'Ivoire,M,Urban,... if she neglects the children,28.0
3238,Cote d'Ivoire,M,Rural,... if she refuses to have sex with him,14.7
3239,Cote d'Ivoire,M,Urban,... if she refuses to have sex with him,9.0
3246,Dominican Republic,F,Urban,... if she burns the food,0.6
3250,Dominican Republic,F,Rural,... if she burns the food,0.7
3262,Dominican Republic,M,Urban,... if she burns the food,0.8
3266,Dominican Republic,M,Rural,... if she burns the food,1.2
3335,Dominican Republic,F,Rural,... for at least one specific reason,2.6
3336,Dominican Republic,F,Urban,... for at least one specific reason,2.3
3337,Dominican Republic,F,Rural,... if she argues with him,1.0
3338,Dominican Republic,F,Urban,... if she argues with him,0.6
3339,Dominican Republic,F,Rural,... if she goes out without telling him,0.7
3340,Dominican Republic,F,Urban,... if she goes out without telling him,0.8
3341,Dominican Republic,F,Rural,... if she neglects the children,1.8
3342,Dominican Republic,F,Urban,... if she neglects the children,1.7
3343,Dominican Republic,F,Rural,... if she refuses to have sex with him,0.6
3344,Dominican Republic,F,Urban,... if she refuses to have sex with him,0.3
3410,Dominican Republic,M,Rural,... for at least one specific reason,4.6
3411,Dominican Republic,M,Urban,... for at least one specific reason,4.0
3412,Dominican Republic,M,Rural,... if she argues with him,1.2
3413,Dominican Republic,M,Urban,... if she argues with him,1.0
3414,Dominican Republic,M,Rural,... if she goes out without telling him,2.3
3415,Dominican Republic,M,Urban,... if she goes out without telling him,2.2
3416,Dominican Republic,M,Rural,... if she neglects the children,2.8
3417,Dominican Republic,M,Urban,... if she neglects the children,2.1
3418,Dominican Republic,M,Rural,... if she refuses to have sex with him,0.9
3419,Dominican Republic,M,Urban,... if she refuses to have sex with him,0.5
3422,Egypt,F,Urban,... if she burns the food,3.2
3431,Egypt,F,Rural,... if she burns the food,9.0
3448,Egypt,M,Rural,... if she burns the food,14.9
3449,Egypt,M,Urban,... if she burns the food,14.9
3515,Egypt,F,Rural,... for at least one specific reason,43.9
3516,Egypt,F,Urban,... for at least one specific reason,20.3
3517,Egypt,F,Rural,... if she argues with him,16.3
3518,Egypt,F,Urban,... if she argues with him,6.2
3519,Egypt,F,Rural,... if she goes out without telling him,31.7
3520,Egypt,F,Urban,... if she goes out without telling him,14.0
3521,Egypt,F,Rural,... if she neglects the children,30.1
3522,Egypt,F,Urban,... if she neglects the children,13.0
3523,Egypt,F,Rural,... if she refuses to have sex with him,25.1
3524,Egypt,F,Urban,... if she refuses to have sex with him,10.2
3590,Egypt,M,Rural,... for at least one specific reason,14.9
3591,Egypt,M,Urban,... for at least one specific reason,14.9
3592,Egypt,M,Rural,... if she argues with him,14.9
3593,Egypt,M,Urban,... if she argues with him,14.9
3594,Egypt,M,Rural,... if she goes out without telling him,14.9
3595,Egypt,M,Urban,... if she goes out without telling him,14.9
3596,Egypt,M,Rural,... if she neglects the children,14.9
3597,Egypt,M,Urban,... if she neglects the children,14.9
3598,Egypt,M,Rural,... if she refuses to have sex with him,14.9
3599,Egypt,M,Urban,... if she refuses to have sex with him,14.9
3602,Eritrea,F,Urban,... if she burns the food,22.2
3613,Eritrea,F,Rural,... if she burns the food,34.4
3628,Eritrea,M,Rural,... if she burns the food,14.9
