,Country,Gender,Demographics Response,Question,Value
207,Albania,M,Unemployed,... if she burns the food,0.8
245,Albania,F,Employed for cash,... for at least one specific reason,4.1
246,Albania,F,Employed for kind,... for at least one specific reason,17.0
247,Albania,F,Unemployed,... for at least one specific reason,7.6
248,Albania,F,Employed for cash,... if she argues with him,1.2
249,Albania,F,Employed for kind,... if she argues with him,6.9
250,Albania,F,Unemployed,... if she argues with him,1.7
251,Albania,F,Employed for cash,... if she goes out without telling him,1.8
252,Albania,F,Employed for kind,... if she goes out without telling him,8.9
253,Albania,F,Unemployed,... if she goes out without telling him,4.4
254,Albania,F,Employed for cash,... if she neglects the children,3.2
255,Albania,F,Employed for kind,... if she neglects the children,13.6
256,Albania,F,Unemployed,... if she neglects the children,5.8
257,Albania,F,Employed for cash,... if she refuses to have sex with him,0.7
258,Albania,F,Employed for kind,... if she refuses to have sex with him,3.0
259,Albania,F,Unemployed,... if she refuses to have sex with him,0.8
320,Albania,M,Employed for cash,... for at least one specific reason,10.8
321,Albania,M,Employed for kind,... for at least one specific reason,9.6
322,Albania,M,Unemployed,... for at least one specific reason,12.4
323,Albania,M,Employed for cash,... if she argues with him,3.4
324,Albania,M,Employed for kind,... if she argues with him,3.6
325,Albania,M,Unemployed,... if she argues with him,5.0
326,Albania,M,Employed for cash,... if she goes out without telling him,7.2
327,Albania,M,Employed for kind,... if she goes out without telling him,6.2
328,Albania,M,Unemployed,... if she goes out without telling him,5.6
329,Albania,M,Employed for cash,... if she neglects the children,7.5
330,Albania,M,Employed for kind,... if she neglects the children,5.5
331,Albania,M,Unemployed,... if she neglects the children,9.1
332,Albania,M,Employed for cash,... if she refuses to have sex with him,1.3
333,Albania,M,Employed for kind,... if she refuses to have sex with him,0.9
334,Albania,M,Unemployed,... if she refuses to have sex with him,3.5
363,Angola,F,Unemployed,... if she burns the food,8.8
365,Angola,F,Employed for cash,... if she burns the food,9.9
372,Angola,F,Employed for kind,... if she burns the food,14.3
381,Angola,M,Employed for cash,... if she burns the food,5.5
382,Angola,M,Unemployed,... if she burns the food,6.1
385,Angola,M,Employed for kind,... if she burns the food,7.9
425,Angola,F,Employed for cash,... for at least one specific reason,26.6
426,Angola,F,Employed for kind,... for at least one specific reason,28.4
427,Angola,F,Unemployed,... for at least one specific reason,21.3
428,Angola,F,Employed for cash,... if she argues with him,16.1
429,Angola,F,Employed for kind,... if she argues with him,19.1
430,Angola,F,Unemployed,... if she argues with him,11.6
431,Angola,F,Employed for cash,... if she goes out without telling him,15.2
432,Angola,F,Employed for kind,... if she goes out without telling him,17.3
433,Angola,F,Unemployed,... if she goes out without telling him,11.7
434,Angola,F,Employed for cash,... if she neglects the children,16.7
435,Angola,F,Employed for kind,... if she neglects the children,18.9
436,Angola,F,Unemployed,... if she neglects the children,14.0
437,Angola,F,Employed for cash,... if she refuses to have sex with him,12.4
438,Angola,F,Employed for kind,... if she refuses to have sex with him,14.7
439,Angola,F,Unemployed,... if she refuses to have sex with him,8.2
500,Angola,M,Employed for cash,... for at least one specific reason,19.7
501,Angola,M,Employed for kind,... for at least one specific reason,23.6
502,Angola,M,Unemployed,... for at least one specific reason,19.0
503,Angola,M,Employed for cash,... if she argues with him,10.9
504,Angola,M,Employed for kind,... if she argues with him,13.3
505,Angola,M,Unemployed,... if she argues with him,9.5
506,Angola,M,Employed for cash,... if she goes out without telling him,8.2
507,Angola,M,Employed for kind,... if she goes out without telling him,9.2
508,Angola,M,Unemployed,... if she goes out without telling him,7.7
509,Angola,M,Employed for cash,... if she neglects the children,11.3
510,Angola,M,Employed for kind,... if she neglects the children,13.8
511,Angola,M,Unemployed,... if she neglects the children,11.1
512,Angola,M,Employed for cash,... if she refuses to have sex with him,5.2
513,Angola,M,Employed for kind,... if she refuses to have sex with him,7.3
514,Angola,M,Unemployed,... if she refuses to have sex with him,5.4
544,Armenia,F,Unemployed,... if she burns the food,0.2
546,Armenia,F,Employed for kind,... if she burns the food,0.3
552,Armenia,F,Employed for cash,... if she burns the food,0.6
560,Armenia,M,Employed for cash,... if she burns the food,0.6
564,Armenia,M,Unemployed,... if she burns the food,0.7
568,Armenia,M,Employed for kind,... if she burns the food,1.0
605,Armenia,F,Employed for cash,... for at least one specific reason,9.1
606,Armenia,F,Employed for kind,... for at least one specific reason,26.2
607,Armenia,F,Unemployed,... for at least one specific reason,9.1
608,Armenia,F,Employed for cash,... if she argues with him,6.1
609,Armenia,F,Employed for kind,... if she argues with him,16.0
610,Armenia,F,Unemployed,... if she argues with him,5.2
611,Armenia,F,Employed for cash,... if she goes out without telling him,4.6
612,Armenia,F,Employed for kind,... if she goes out without telling him,19.8
613,Armenia,F,Unemployed,... if she goes out without telling him,4.2
614,Armenia,F,Employed for cash,... if she neglects the children,7.6
615,Armenia,F,Employed for kind,... if she neglects the children,24.4
616,Armenia,F,Unemployed,... if she neglects the children,7.6
617,Armenia,F,Employed for cash,... if she refuses to have sex with him,1.1
618,Armenia,F,Employed for kind,... if she refuses to have sex with him,0.6
619,Armenia,F,Unemployed,... if she refuses to have sex with him,0.6
680,Armenia,M,Employed for cash,... for at least one specific reason,22.2
681,Armenia,M,Employed for kind,... for at least one specific reason,47.0
682,Armenia,M,Unemployed,... for at least one specific reason,20.7
683,Armenia,M,Employed for cash,... if she argues with him,17.0
684,Armenia,M,Employed for kind,... if she argues with him,31.7
685,Armenia,M,Unemployed,... if she argues with him,12.2
686,Armenia,M,Employed for cash,... if she goes out without telling him,12.3
687,Armenia,M,Employed for kind,... if she goes out without telling him,26.3
688,Armenia,M,Unemployed,... if she goes out without telling him,8.7
689,Armenia,M,Employed for cash,... if she neglects the children,17.0
690,Armenia,M,Employed for kind,... if she neglects the children,31.5
691,Armenia,M,Unemployed,... if she neglects the children,16.0
692,Armenia,M,Employed for cash,... if she refuses to have sex with him,1.5
693,Armenia,M,Employed for kind,... if she refuses to have sex with him,6.0
694,Armenia,M,Unemployed,... if she refuses to have sex with him,1.5
723,Azerbaijan,F,Employed for cash,... if she burns the food,9.1
726,Azerbaijan,F,Unemployed,... if she burns the food,12.6
732,Azerbaijan,F,Employed for kind,... if she burns the food,21.9
739,Azerbaijan,M,Employed for kind,... if she burns the food,3.7
744,Azerbaijan,M,Employed for cash,... if she burns the food,6.6
746,Azerbaijan,M,Unemployed,... if she burns the food,8.6
785,Azerbaijan,F,Employed for cash,... for at least one specific reason,42.2
786,Azerbaijan,F,Employed for kind,... for at least one specific reason,56.35000000000001
787,Azerbaijan,F,Unemployed,... for at least one specific reason,50.2
788,Azerbaijan,F,Employed for cash,... if she argues with him,25.2
789,Azerbaijan,F,Employed for kind,... if she argues with him,43.1
790,Azerbaijan,F,Unemployed,... if she argues with him,32.4
791,Azerbaijan,F,Employed for cash,... if she goes out without telling him,35.0
792,Azerbaijan,F,Employed for kind,... if she goes out without telling him,56.35000000000001
793,Azerbaijan,F,Unemployed,... if she goes out without telling him,43.9
794,Azerbaijan,F,Employed for cash,... if she neglects the children,27.7
795,Azerbaijan,F,Employed for kind,... if she neglects the children,50.0
796,Azerbaijan,F,Unemployed,... if she neglects the children,35.8
797,Azerbaijan,F,Employed for cash,... if she refuses to have sex with him,10.8
798,Azerbaijan,F,Employed for kind,... if she refuses to have sex with him,23.4
799,Azerbaijan,F,Unemployed,... if she refuses to have sex with him,14.8
860,Azerbaijan,M,Employed for cash,... for at least one specific reason,56.35000000000001
861,Azerbaijan,M,Employed for kind,... for at least one specific reason,45.3
862,Azerbaijan,M,Unemployed,... for at least one specific reason,56.35000000000001
863,Azerbaijan,M,Employed for cash,... if she argues with him,53.4
864,Azerbaijan,M,Employed for kind,... if she argues with him,42.5
865,Azerbaijan,M,Unemployed,... if she argues with him,49.5
866,Azerbaijan,M,Employed for cash,... if she goes out without telling him,41.3
867,Azerbaijan,M,Employed for kind,... if she goes out without telling him,29.5
868,Azerbaijan,M,Unemployed,... if she goes out without telling him,39.2
869,Azerbaijan,M,Employed for cash,... if she neglects the children,35.2
870,Azerbaijan,M,Employed for kind,... if she neglects the children,32.0
871,Azerbaijan,M,Unemployed,... if she neglects the children,33.7
872,Azerbaijan,M,Employed for cash,... if she refuses to have sex with him,11.7
873,Azerbaijan,M,Employed for kind,... if she refuses to have sex with him,4.6
874,Azerbaijan,M,Unemployed,... if she refuses to have sex with him,12.8
906,Bangladesh,F,Unemployed,... if she burns the food,4.1
908,Bangladesh,F,Employed for cash,... if she burns the food,4.7
911,Bangladesh,F,Employed for kind,... if she burns the food,5.3
922,Bangladesh,M,Employed for cash,... if she burns the food,14.9
923,Bangladesh,M,Employed for kind,... if she burns the food,14.9
924,Bangladesh,M,Unemployed,... if she burns the food,14.9
965,Bangladesh,F,Employed for cash,... for at least one specific reason,28.8
966,Bangladesh,F,Employed for kind,... for at least one specific reason,29.2
967,Bangladesh,F,Unemployed,... for at least one specific reason,28.0
968,Bangladesh,F,Employed for cash,... if she argues with him,20.6
969,Bangladesh,F,Employed for kind,... if she argues with him,21.4
970,Bangladesh,F,Unemployed,... if she argues with him,19.5
971,Bangladesh,F,Employed for cash,... if she goes out without telling him,14.9
972,Bangladesh,F,Employed for kind,... if she goes out without telling him,15.3
973,Bangladesh,F,Unemployed,... if she goes out without telling him,14.2
974,Bangladesh,F,Employed for cash,... if she neglects the children,15.6
975,Bangladesh,F,Employed for kind,... if she neglects the children,16.5
976,Bangladesh,F,Unemployed,... if she neglects the children,14.5
977,Bangladesh,F,Employed for cash,... if she refuses to have sex with him,8.0
978,Bangladesh,F,Employed for kind,... if she refuses to have sex with him,8.2
979,Bangladesh,F,Unemployed,... if she refuses to have sex with him,6.7
1040,Bangladesh,M,Employed for cash,... for at least one specific reason,14.9
1041,Bangladesh,M,Employed for kind,... for at least one specific reason,14.9
1042,Bangladesh,M,Unemployed,... for at least one specific reason,14.9
1043,Bangladesh,M,Employed for cash,... if she argues with him,14.9
1044,Bangladesh,M,Employed for kind,... if she argues with him,14.9
1045,Bangladesh,M,Unemployed,... if she argues with him,14.9
1046,Bangladesh,M,Employed for cash,... if she goes out without telling him,14.9
1047,Bangladesh,M,Employed for kind,... if she goes out without telling him,14.9
1048,Bangladesh,M,Unemployed,... if she goes out without telling him,14.9
1049,Bangladesh,M,Employed for cash,... if she neglects the children,14.9
1050,Bangladesh,M,Employed for kind,... if she neglects the children,14.9
1051,Bangladesh,M,Unemployed,... if she neglects the children,14.9
1052,Bangladesh,M,Employed for cash,... if she refuses to have sex with him,14.9
1053,Bangladesh,M,Employed for kind,... if she refuses to have sex with him,14.9
1054,Bangladesh,M,Unemployed,... if she refuses to have sex with him,14.9
1083,Benin,F,Unemployed,... if she burns the food,11.7
1088,Benin,F,Employed for kind,... if she burns the food,14.4
1089,Benin,F,Employed for cash,... if she burns the food,14.6
1098,Benin,M,Unemployed,... if she burns the food,4.4
1103,Benin,M,Employed for cash,... if she burns the food,6.6
1109,Benin,M,Employed for kind,... if she burns the food,11.0
1145,Benin,F,Employed for cash,... for at least one specific reason,33.1
1146,Benin,F,Employed for kind,... for at least one specific reason,30.6
1147,Benin,F,Unemployed,... for at least one specific reason,29.3
1148,Benin,F,Employed for cash,... if she argues with him,21.5
1149,Benin,F,Employed for kind,... if she argues with him,19.6
1150,Benin,F,Unemployed,... if she argues with him,19.9
1151,Benin,F,Employed for cash,... if she goes out without telling him,22.6
1152,Benin,F,Employed for kind,... if she goes out without telling him,17.1
1153,Benin,F,Unemployed,... if she goes out without telling him,20.7
1154,Benin,F,Employed for cash,... if she neglects the children,23.5
1155,Benin,F,Employed for kind,... if she neglects the children,21.8
1156,Benin,F,Unemployed,... if she neglects the children,20.8
1157,Benin,F,Employed for cash,... if she refuses to have sex with him,12.9
1158,Benin,F,Employed for kind,... if she refuses to have sex with him,11.1
1159,Benin,F,Unemployed,... if she refuses to have sex with him,13.5
1220,Benin,M,Employed for cash,... for at least one specific reason,15.2
1221,Benin,M,Employed for kind,... for at least one specific reason,23.4
1222,Benin,M,Unemployed,... for at least one specific reason,10.1
1223,Benin,M,Employed for cash,... if she argues with him,9.8
1224,Benin,M,Employed for kind,... if she argues with him,12.6
1225,Benin,M,Unemployed,... if she argues with him,6.2
1226,Benin,M,Employed for cash,... if she goes out without telling him,8.7
1227,Benin,M,Employed for kind,... if she goes out without telling him,13.0
1228,Benin,M,Unemployed,... if she goes out without telling him,5.7
1229,Benin,M,Employed for cash,... if she neglects the children,9.1
1230,Benin,M,Employed for kind,... if she neglects the children,14.3
1231,Benin,M,Unemployed,... if she neglects the children,6.2
1232,Benin,M,Employed for cash,... if she refuses to have sex with him,7.2
1233,Benin,M,Employed for kind,... if she refuses to have sex with him,9.3
1234,Benin,M,Unemployed,... if she refuses to have sex with him,3.8
1263,Bolivia,F,Unemployed,... if she burns the food,2.6
1267,Bolivia,F,Employed for cash,... if she burns the food,3.2
1272,Bolivia,F,Employed for kind,... if she burns the food,4.9
1282,Bolivia,M,Employed for cash,... if she burns the food,14.9
1283,Bolivia,M,Employed for kind,... if she burns the food,14.9
1284,Bolivia,M,Unemployed,... if she burns the food,14.9
1325,Bolivia,F,Employed for cash,... for at least one specific reason,16.1
1326,Bolivia,F,Employed for kind,... for at least one specific reason,19.4
1327,Bolivia,F,Unemployed,... for at least one specific reason,14.4
1328,Bolivia,F,Employed for cash,... if she argues with him,5.1
1329,Bolivia,F,Employed for kind,... if she argues with him,7.5
1330,Bolivia,F,Unemployed,... if she argues with him,4.4
1331,Bolivia,F,Employed for cash,... if she goes out without telling him,5.9
1332,Bolivia,F,Employed for kind,... if she goes out without telling him,8.7
1333,Bolivia,F,Unemployed,... if she goes out without telling him,4.6
1334,Bolivia,F,Employed for cash,... if she neglects the children,12.2
1335,Bolivia,F,Employed for kind,... if she neglects the children,14.0
1336,Bolivia,F,Unemployed,... if she neglects the children,11.5
1337,Bolivia,F,Employed for cash,... if she refuses to have sex with him,2.3
1338,Bolivia,F,Employed for kind,... if she refuses to have sex with him,3.2
1339,Bolivia,F,Unemployed,... if she refuses to have sex with him,1.7
1400,Bolivia,M,Employed for cash,... for at least one specific reason,14.9
1401,Bolivia,M,Employed for kind,... for at least one specific reason,14.9
1402,Bolivia,M,Unemployed,... for at least one specific reason,14.9
1403,Bolivia,M,Employed for cash,... if she argues with him,14.9
1404,Bolivia,M,Employed for kind,... if she argues with him,14.9
1405,Bolivia,M,Unemployed,... if she argues with him,14.9
1406,Bolivia,M,Employed for cash,... if she goes out without telling him,14.9
1407,Bolivia,M,Employed for kind,... if she goes out without telling him,14.9
1408,Bolivia,M,Unemployed,... if she goes out without telling him,14.9
1409,Bolivia,M,Employed for cash,... if she neglects the children,14.9
1410,Bolivia,M,Employed for kind,... if she neglects the children,14.9
1411,Bolivia,M,Unemployed,... if she neglects the children,14.9
1412,Bolivia,M,Employed for cash,... if she refuses to have sex with him,14.9
1413,Bolivia,M,Employed for kind,... if she refuses to have sex with him,14.9
1414,Bolivia,M,Unemployed,... if she refuses to have sex with him,14.9
1446,Burkina Faso,F,Employed for kind,... if she burns the food,8.5
1449,Burkina Faso,F,Employed for cash,... if she burns the food,10.0
1454,Burkina Faso,F,Unemployed,... if she burns the food,12.1
1455,Burkina Faso,M,Unemployed,... if she burns the food,5.5
1458,Burkina Faso,M,Employed for cash,... if she burns the food,6.1
1467,Burkina Faso,M,Employed for kind,... if she burns the food,9.2
1505,Burkina Faso,F,Employed for cash,... for at least one specific reason,40.6
1506,Burkina Faso,F,Employed for kind,... for at least one specific reason,45.8
1507,Burkina Faso,F,Unemployed,... for at least one specific reason,43.8
1508,Burkina Faso,F,Employed for cash,... if she argues with him,29.5
1509,Burkina Faso,F,Employed for kind,... if she argues with him,30.6
1510,Burkina Faso,F,Unemployed,... if she argues with him,33.8
1511,Burkina Faso,F,Employed for cash,... if she goes out without telling him,27.9
1512,Burkina Faso,F,Employed for kind,... if she goes out without telling him,31.6
1513,Burkina Faso,F,Unemployed,... if she goes out without telling him,31.9
1514,Burkina Faso,F,Employed for cash,... if she neglects the children,28.8
1515,Burkina Faso,F,Employed for kind,... if she neglects the children,31.1
1516,Burkina Faso,F,Unemployed,... if she neglects the children,31.8
1517,Burkina Faso,F,Employed for cash,... if she refuses to have sex with him,16.1
1518,Burkina Faso,F,Employed for kind,... if she refuses to have sex with him,18.9
1519,Burkina Faso,F,Unemployed,... if she refuses to have sex with him,27.7
1580,Burkina Faso,M,Employed for cash,... for at least one specific reason,27.0
1581,Burkina Faso,M,Employed for kind,... for at least one specific reason,44.0
1582,Burkina Faso,M,Unemployed,... for at least one specific reason,22.8
1583,Burkina Faso,M,Employed for cash,... if she argues with him,15.3
1584,Burkina Faso,M,Employed for kind,... if she argues with him,27.0
1585,Burkina Faso,M,Unemployed,... if she argues with him,8.6
1586,Burkina Faso,M,Employed for cash,... if she goes out without telling him,13.3
1587,Burkina Faso,M,Employed for kind,... if she goes out without telling him,24.1
1588,Burkina Faso,M,Unemployed,... if she goes out without telling him,7.5
1589,Burkina Faso,M,Employed for cash,... if she neglects the children,16.7
1590,Burkina Faso,M,Employed for kind,... if she neglects the children,24.8
1591,Burkina Faso,M,Unemployed,... if she neglects the children,14.6
1592,Burkina Faso,M,Employed for cash,... if she refuses to have sex with him,9.1
1593,Burkina Faso,M,Employed for kind,... if she refuses to have sex with him,13.5
1594,Burkina Faso,M,Unemployed,... if she refuses to have sex with him,6.7
1622,Burundi,F,Unemployed,... if she burns the food,14.5
1628,Burundi,F,Employed for cash,... if she burns the food,22.6
1631,Burundi,F,Employed for kind,... if she burns the food,23.9
1641,Burundi,M,Employed for cash,... if she burns the food,3.8
1643,Burundi,M,Unemployed,... if she burns the food,5.5
1647,Burundi,M,Employed for kind,... if she burns the food,6.5
1685,Burundi,F,Employed for cash,... for at least one specific reason,56.35000000000001
1686,Burundi,F,Employed for kind,... for at least one specific reason,56.35000000000001
1687,Burundi,F,Unemployed,... for at least one specific reason,52.0
1688,Burundi,F,Employed for cash,... if she argues with him,29.5
1689,Burundi,F,Employed for kind,... if she argues with him,33.3
1690,Burundi,F,Unemployed,... if she argues with him,21.5
1691,Burundi,F,Employed for cash,... if she goes out without telling him,40.9
1692,Burundi,F,Employed for kind,... if she goes out without telling him,40.7
1693,Burundi,F,Unemployed,... if she goes out without telling him,30.1
1694,Burundi,F,Employed for cash,... if she neglects the children,53.8
1695,Burundi,F,Employed for kind,... if she neglects the children,52.5
1696,Burundi,F,Unemployed,... if she neglects the children,44.0
1697,Burundi,F,Employed for cash,... if she refuses to have sex with him,44.1
1698,Burundi,F,Employed for kind,... if she refuses to have sex with him,43.9
1699,Burundi,F,Unemployed,... if she refuses to have sex with him,29.3
1760,Burundi,M,Employed for cash,... for at least one specific reason,33.1
1761,Burundi,M,Employed for kind,... for at least one specific reason,36.4
1762,Burundi,M,Unemployed,... for at least one specific reason,41.9
1763,Burundi,M,Employed for cash,... if she argues with him,9.8
1764,Burundi,M,Employed for kind,... if she argues with him,10.7
1765,Burundi,M,Unemployed,... if she argues with him,10.8
1766,Burundi,M,Employed for cash,... if she goes out without telling him,16.8
1767,Burundi,M,Employed for kind,... if she goes out without telling him,17.1
1768,Burundi,M,Unemployed,... if she goes out without telling him,21.2
1769,Burundi,M,Employed for cash,... if she neglects the children,24.5
1770,Burundi,M,Employed for kind,... if she neglects the children,27.3
1771,Burundi,M,Unemployed,... if she neglects the children,32.7
1772,Burundi,M,Employed for cash,... if she refuses to have sex with him,12.6
1773,Burundi,M,Employed for kind,... if she refuses to have sex with him,13.5
1774,Burundi,M,Unemployed,... if she refuses to have sex with him,20.6
1806,Cambodia,F,Unemployed,... if she burns the food,11.4
1807,Cambodia,F,Employed for cash,... if she burns the food,11.8
1808,Cambodia,F,Employed for kind,... if she burns the food,11.9
1820,Cambodia,M,Employed for cash,... if she burns the food,1.8
1821,Cambodia,M,Employed for kind,... if she burns the food,1.9
1826,Cambodia,M,Unemployed,... if she burns the food,2.1
1865,Cambodia,F,Employed for cash,... for at least one specific reason,49.7
1866,Cambodia,F,Employed for kind,... for at least one specific reason,56.35000000000001
1867,Cambodia,F,Unemployed,... for at least one specific reason,47.5
1868,Cambodia,F,Employed for cash,... if she argues with him,24.4
1869,Cambodia,F,Employed for kind,... if she argues with him,24.9
1870,Cambodia,F,Unemployed,... if she argues with him,21.5
1871,Cambodia,F,Employed for cash,... if she goes out without telling him,32.1
1872,Cambodia,F,Employed for kind,... if she goes out without telling him,33.3
1873,Cambodia,F,Unemployed,... if she goes out without telling him,28.0
1874,Cambodia,F,Employed for cash,... if she neglects the children,43.5
1875,Cambodia,F,Employed for kind,... if she neglects the children,51.2
1876,Cambodia,F,Unemployed,... if she neglects the children,41.7
1877,Cambodia,F,Employed for cash,... if she refuses to have sex with him,13.1
1878,Cambodia,F,Employed for kind,... if she refuses to have sex with him,15.6
1879,Cambodia,F,Unemployed,... if she refuses to have sex with him,10.8
1940,Cambodia,M,Employed for cash,... for at least one specific reason,26.8
1941,Cambodia,M,Employed for kind,... for at least one specific reason,27.5
1942,Cambodia,M,Unemployed,... for at least one specific reason,16.3
1943,Cambodia,M,Employed for cash,... if she argues with him,11.8
1944,Cambodia,M,Employed for kind,... if she argues with him,9.3
1945,Cambodia,M,Unemployed,... if she argues with him,5.9
1946,Cambodia,M,Employed for cash,... if she goes out without telling him,12.9
1947,Cambodia,M,Employed for kind,... if she goes out without telling him,13.9
1948,Cambodia,M,Unemployed,... if she goes out without telling him,5.7
1949,Cambodia,M,Employed for cash,... if she neglects the children,19.4
1950,Cambodia,M,Employed for kind,... if she neglects the children,22.8
1951,Cambodia,M,Unemployed,... if she neglects the children,12.1
1952,Cambodia,M,Employed for cash,... if she refuses to have sex with him,3.8
1953,Cambodia,M,Employed for kind,... if she refuses to have sex with him,5.4
1954,Cambodia,M,Unemployed,... if she refuses to have sex with him,3.0
1985,Cameroon,F,Unemployed,... if she burns the food,12.5
1987,Cameroon,F,Employed for cash,... if she burns the food,13.9
1991,Cameroon,F,Employed for kind,... if she burns the food,15.3
1997,Cameroon,M,Unemployed,... if she burns the food,6.6
2000,Cameroon,M,Employed for kind,... if she burns the food,8.2
2003,Cameroon,M,Employed for cash,... if she burns the food,9.4
2045,Cameroon,F,Employed for cash,... for at least one specific reason,47.0
2046,Cameroon,F,Employed for kind,... for at least one specific reason,48.7
2047,Cameroon,F,Unemployed,... for at least one specific reason,44.7
2048,Cameroon,F,Employed for cash,... if she argues with him,21.6
2049,Cameroon,F,Employed for kind,... if she argues with him,22.3
2050,Cameroon,F,Unemployed,... if she argues with him,18.7
2051,Cameroon,F,Employed for cash,... if she goes out without telling him,27.6
2052,Cameroon,F,Employed for kind,... if she goes out without telling him,28.9
2053,Cameroon,F,Unemployed,... if she goes out without telling him,23.8
2054,Cameroon,F,Employed for cash,... if she neglects the children,38.4
2055,Cameroon,F,Employed for kind,... if she neglects the children,38.3
2056,Cameroon,F,Unemployed,... if she neglects the children,35.4
2057,Cameroon,F,Employed for cash,... if she refuses to have sex with him,15.0
2058,Cameroon,F,Employed for kind,... if she refuses to have sex with him,13.8
2059,Cameroon,F,Unemployed,... if she refuses to have sex with him,12.6
2120,Cameroon,M,Employed for cash,... for at least one specific reason,39.2
2121,Cameroon,M,Employed for kind,... for at least one specific reason,36.6
2122,Cameroon,M,Unemployed,... for at least one specific reason,36.6
2123,Cameroon,M,Employed for cash,... if she argues with him,18.0
2124,Cameroon,M,Employed for kind,... if she argues with him,19.2
2125,Cameroon,M,Unemployed,... if she argues with him,13.9
2126,Cameroon,M,Employed for cash,... if she goes out without telling him,21.9
2127,Cameroon,M,Employed for kind,... if she goes out without telling him,16.7
2128,Cameroon,M,Unemployed,... if she goes out without telling him,19.7
2129,Cameroon,M,Employed for cash,... if she neglects the children,29.1
2130,Cameroon,M,Employed for kind,... if she neglects the children,28.0
2131,Cameroon,M,Unemployed,... if she neglects the children,28.2
2132,Cameroon,M,Employed for cash,... if she refuses to have sex with him,7.9
2133,Cameroon,M,Employed for kind,... if she refuses to have sex with him,8.1
2134,Cameroon,M,Unemployed,... if she refuses to have sex with him,6.1
2162,Chad,F,Unemployed,... if she burns the food,42.3
2168,Chad,F,Employed for kind,... if she burns the food,49.4
2174,Chad,F,Employed for cash,... if she burns the food,56.35000000000001
2178,Chad,M,Unemployed,... if she burns the food,24.3
2180,Chad,M,Employed for cash,... if she burns the food,25.6
2187,Chad,M,Employed for kind,... if she burns the food,31.5
2225,Chad,F,Employed for cash,... for at least one specific reason,56.35000000000001
2226,Chad,F,Employed for kind,... for at least one specific reason,56.35000000000001
2227,Chad,F,Unemployed,... for at least one specific reason,56.35000000000001
2228,Chad,F,Employed for cash,... if she argues with him,56.35000000000001
2229,Chad,F,Employed for kind,... if she argues with him,48.8
2230,Chad,F,Unemployed,... if she argues with him,45.1
2231,Chad,F,Employed for cash,... if she goes out without telling him,56.35000000000001
2232,Chad,F,Employed for kind,... if she goes out without telling him,56.35000000000001
2233,Chad,F,Unemployed,... if she goes out without telling him,53.8
2234,Chad,F,Employed for cash,... if she neglects the children,56.35000000000001
2235,Chad,F,Employed for kind,... if she neglects the children,56.35000000000001
