,Country,Gender,Demographics Question,Demographics Response,Question,Value
35,Afghanistan,F,Age,35-49,... if she argues with him,56.35000000000001
36,Afghanistan,F,Age,15-24,... if she goes out without telling him,56.35000000000001
37,Afghanistan,F,Age,25-34,... if she goes out without telling him,56.35000000000001
38,Afghanistan,F,Age,35-49,... if she goes out without telling him,56.35000000000001
39,Afghanistan,F,Age,15-24,... if she neglects the children,46.5
40,Afghanistan,F,Age,25-34,... if she neglects the children,50.2
41,Afghanistan,F,Age,35-49,... if she neglects the children,48.1
42,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,32.1
43,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,34.3
44,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,33.5
45,Afghanistan,F,Education,Higher,... for at least one specific reason,56.35000000000001
46,Afghanistan,F,Education,No education,... for at least one specific reason,56.35000000000001
47,Afghanistan,F,Education,Primary,... for at least one specific reason,56.35000000000001
48,Afghanistan,F,Education,Secondary,... for at least one specific reason,56.35000000000001
49,Afghanistan,F,Education,Higher,... if she argues with him,37.7
50,Afghanistan,F,Education,No education,... if she argues with him,56.35000000000001
51,Afghanistan,F,Education,Primary,... if she argues with him,56.35000000000001
52,Afghanistan,F,Education,Secondary,... if she argues with him,55.4
53,Afghanistan,F,Education,Higher,... if she goes out without telling him,41.1
54,Afghanistan,F,Education,No education,... if she goes out without telling him,56.35000000000001
55,Afghanistan,F,Education,Primary,... if she goes out without telling him,56.35000000000001
56,Afghanistan,F,Education,Secondary,... if she goes out without telling him,56.35000000000001
57,Afghanistan,F,Education,Higher,... if she neglects the children,33.4
58,Afghanistan,F,Education,No education,... if she neglects the children,48.9
59,Afghanistan,F,Education,Primary,... if she neglects the children,50.6
60,Afghanistan,F,Education,Secondary,... if she neglects the children,44.4
61,Afghanistan,F,Education,Higher,... if she refuses to have sex with him,10.8
62,Afghanistan,F,Education,No education,... if she refuses to have sex with him,34.2
63,Afghanistan,F,Education,Primary,... if she refuses to have sex with him,35.9
64,Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,26.6
65,Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,56.35000000000001
66,Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,56.35000000000001
67,Afghanistan,F,Employment,Unemployed,... for at least one specific reason,56.35000000000001
68,Afghanistan,F,Employment,Employed for cash,... if she argues with him,56.35000000000001
69,Afghanistan,F,Employment,Employed for kind,... if she argues with him,53.5
70,Afghanistan,F,Employment,Unemployed,... if she argues with him,56.35000000000001
71,Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,56.35000000000001
72,Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,56.35000000000001
73,Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,56.35000000000001
74,Afghanistan,F,Employment,Employed for cash,... if she neglects the children,48.1
75,Afghanistan,F,Employment,Employed for kind,... if she neglects the children,49.3
76,Afghanistan,F,Employment,Unemployed,... if she neglects the children,48.6
77,Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,32.5
78,Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,31.4
79,Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,33.7
80,Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,56.35000000000001
81,Afghanistan,F,Marital status,Never married,... for at least one specific reason,14.9
82,Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,56.35000000000001
83,Afghanistan,F,Marital status,Married or living together,... if she argues with him,56.35000000000001
84,Afghanistan,F,Marital status,Never married,... if she argues with him,14.9
85,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,51.5
86,Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,56.35000000000001
87,Afghanistan,F,Marital status,Never married,... if she goes out without telling him,14.9
88,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,56.35000000000001
89,Afghanistan,F,Marital status,Married or living together,... if she neglects the children,48.6
90,Afghanistan,F,Marital status,Never married,... if she neglects the children,14.9
91,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,43.1
92,Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,33.5
93,Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,14.9
94,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,29.1
95,Afghanistan,F,Residence,Rural,... for at least one specific reason,56.35000000000001
96,Afghanistan,F,Residence,Urban,... for at least one specific reason,56.35000000000001
97,Afghanistan,F,Residence,Rural,... if she argues with him,56.35000000000001
98,Afghanistan,F,Residence,Urban,... if she argues with him,54.7
99,Afghanistan,F,Residence,Rural,... if she goes out without telling him,56.35000000000001
100,Afghanistan,F,Residence,Urban,... if she goes out without telling him,56.35000000000001
101,Afghanistan,F,Residence,Rural,... if she neglects the children,48.9
102,Afghanistan,F,Residence,Urban,... if she neglects the children,46.7
103,Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,35.2
104,Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,27.4
105,Afghanistan,M,Age,15-24,... for at least one specific reason,56.35000000000001
106,Afghanistan,M,Age,25-34,... for at least one specific reason,56.35000000000001
107,Afghanistan,M,Age,35-49,... for at least one specific reason,56.35000000000001
108,Afghanistan,M,Age,15-24,... if she argues with him,44.4
109,Afghanistan,M,Age,25-34,... if she argues with him,44.6
110,Afghanistan,M,Age,35-49,... if she argues with him,46.6
111,Afghanistan,M,Age,15-24,... if she goes out without telling him,56.35000000000001
112,Afghanistan,M,Age,25-34,... if she goes out without telling him,56.35000000000001
113,Afghanistan,M,Age,35-49,... if she goes out without telling him,56.35000000000001
114,Afghanistan,M,Age,15-24,... if she neglects the children,24.8
115,Afghanistan,M,Age,25-34,... if she neglects the children,27.0
116,Afghanistan,M,Age,35-49,... if she neglects the children,25.7
117,Afghanistan,M,Age,15-24,... if she refuses to have sex with him,21.3
118,Afghanistan,M,Age,25-34,... if she refuses to have sex with him,18.5
119,Afghanistan,M,Age,35-49,... if she refuses to have sex with him,20.1
120,Afghanistan,M,Education,Higher,... for at least one specific reason,55.5
121,Afghanistan,M,Education,No education,... for at least one specific reason,56.35000000000001
122,Afghanistan,M,Education,Primary,... for at least one specific reason,56.35000000000001
123,Afghanistan,M,Education,Secondary,... for at least one specific reason,56.35000000000001
124,Afghanistan,M,Education,Higher,... if she argues with him,31.4
125,Afghanistan,M,Education,No education,... if she argues with him,50.2
126,Afghanistan,M,Education,Primary,... if she argues with him,41.0
127,Afghanistan,M,Education,Secondary,... if she argues with him,42.8
128,Afghanistan,M,Education,Higher,... if she goes out without telling him,43.6
129,Afghanistan,M,Education,No education,... if she goes out without telling him,56.35000000000001
130,Afghanistan,M,Education,Primary,... if she goes out without telling him,55.9
131,Afghanistan,M,Education,Secondary,... if she goes out without telling him,56.35000000000001
132,Afghanistan,M,Education,Higher,... if she neglects the children,20.9
133,Afghanistan,M,Education,No education,... if she neglects the children,29.7
134,Afghanistan,M,Education,Primary,... if she neglects the children,22.3
135,Afghanistan,M,Education,Secondary,... if she neglects the children,23.0
136,Afghanistan,M,Education,Higher,... if she refuses to have sex with him,11.9
137,Afghanistan,M,Education,No education,... if she refuses to have sex with him,23.2
138,Afghanistan,M,Education,Primary,... if she refuses to have sex with him,17.4
139,Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,15.9
140,Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,56.35000000000001
141,Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,56.35000000000001
142,Afghanistan,M,Employment,Unemployed,... for at least one specific reason,56.35000000000001
143,Afghanistan,M,Employment,Employed for cash,... if she argues with him,45.5
144,Afghanistan,M,Employment,Employed for kind,... if she argues with him,47.8
145,Afghanistan,M,Employment,Unemployed,... if she argues with him,41.1
146,Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,56.35000000000001
147,Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,56.35000000000001
148,Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,54.8
149,Afghanistan,M,Employment,Employed for cash,... if she neglects the children,25.6
150,Afghanistan,M,Employment,Employed for kind,... if she neglects the children,30.6
151,Afghanistan,M,Employment,Unemployed,... if she neglects the children,31.8
152,Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,18.9
153,Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,27.8
154,Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,17.0
155,Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,56.35000000000001
156,Afghanistan,M,Marital status,Never married,... for at least one specific reason,14.9
157,Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,48.8
158,Afghanistan,M,Marital status,Married or living together,... if she argues with him,45.5
159,Afghanistan,M,Marital status,Never married,... if she argues with him,14.9
160,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,35.1
161,Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,56.35000000000001
162,Afghanistan,M,Marital status,Never married,... if she goes out without telling him,14.9
163,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,36.5
164,Afghanistan,M,Marital status,Married or living together,... if she neglects the children,26.1
165,Afghanistan,M,Marital status,Never married,... if she neglects the children,14.9
166,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,29.3
167,Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,19.7
168,Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,14.9
169,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,5.0
170,Afghanistan,M,Residence,Rural,... for at least one specific reason,56.35000000000001
171,Afghanistan,M,Residence,Urban,... for at least one specific reason,56.35000000000001
172,Afghanistan,M,Residence,Rural,... if she argues with him,47.0
173,Afghanistan,M,Residence,Urban,... if she argues with him,40.4
174,Afghanistan,M,Residence,Rural,... if she goes out without telling him,56.35000000000001
175,Afghanistan,M,Residence,Urban,... if she goes out without telling him,46.0
176,Afghanistan,M,Residence,Rural,... if she neglects the children,28.1
177,Afghanistan,M,Residence,Urban,... if she neglects the children,19.6
178,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,21.9
179,Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,12.0
180,Albania,F,Education,Higher,... if she burns the food,0.2
181,Albania,F,Residence,Urban,... if she burns the food,0.4
182,Albania,F,Age,15-24,... if she burns the food,0.6
183,Albania,F,Education,Secondary,... if she burns the food,0.6
184,Albania,F,Employment,Employed for cash,... if she burns the food,0.6
185,Albania,F,Marital status,Never married,... if she burns the food,0.6
186,Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,0.6
187,Albania,F,Age,25-34,... if she burns the food,0.8
188,Albania,F,Employment,Unemployed,... if she burns the food,0.8
189,Albania,F,Marital status,Married or living together,... if she burns the food,0.9
190,Albania,F,Age,35-49,... if she burns the food,1.0
191,Albania,F,Education,Primary,... if she burns the food,1.3
192,Albania,F,Residence,Rural,... if she burns the food,1.4
193,Albania,F,Employment,Employed for kind,... if she burns the food,2.4
194,Albania,F,Education,No education,... if she burns the food,5.8
195,Albania,M,Education,No education,... if she burns the food,0.0
196,Albania,M,Age,25-34,... if she burns the food,0.2
197,Albania,M,Education,Secondary,... if she burns the food,0.2
198,Albania,M,Employment,Employed for cash,... if she burns the food,0.3
199,Albania,M,Age,35-49,... if she burns the food,0.4
200,Albania,M,Marital status,Never married,... if she burns the food,0.4
201,Albania,M,Employment,Employed for kind,... if she burns the food,0.5
202,Albania,M,Residence,Rural,... if she burns the food,0.5
203,Albania,M,Residence,Urban,... if she burns the food,0.5
204,Albania,M,Marital status,Married or living together,... if she burns the food,0.6
205,Albania,M,Education,Higher,... if she burns the food,0.8
206,Albania,M,Education,Primary,... if she burns the food,0.8
207,Albania,M,Employment,Unemployed,... if she burns the food,0.8
208,Albania,M,Age,15-24,... if she burns the food,0.9
209,Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.6
210,Albania,F,Age,15-24,... for at least one specific reason,4.7
211,Albania,F,Age,25-34,... for at least one specific reason,6.9
212,Albania,F,Age,35-49,... for at least one specific reason,8.2
213,Albania,F,Age,15-24,... if she argues with him,1.0
214,Albania,F,Age,25-34,... if she argues with him,1.7
215,Albania,F,Age,35-49,... if she argues with him,2.4
216,Albania,F,Age,15-24,... if she goes out without telling him,2.0
217,Albania,F,Age,25-34,... if she goes out without telling him,3.7
218,Albania,F,Age,35-49,... if she goes out without telling him,4.8
219,Albania,F,Age,15-24,... if she neglects the children,3.5
220,Albania,F,Age,25-34,... if she neglects the children,5.4
221,Albania,F,Age,35-49,... if she neglects the children,6.3
222,Albania,F,Age,15-24,... if she refuses to have sex with him,0.6
223,Albania,F,Age,25-34,... if she refuses to have sex with him,1.1
224,Albania,F,Age,35-49,... if she refuses to have sex with him,1.0
225,Albania,F,Education,Higher,... for at least one specific reason,1.4
226,Albania,F,Education,No education,... for at least one specific reason,26.3
227,Albania,F,Education,Primary,... for at least one specific reason,11.1
228,Albania,F,Education,Secondary,... for at least one specific reason,5.5
229,Albania,F,Education,Higher,... if she argues with him,0.4
230,Albania,F,Education,No education,... if she argues with him,11.7
231,Albania,F,Education,Primary,... if she argues with him,3.2
232,Albania,F,Education,Secondary,... if she argues with him,1.1
233,Albania,F,Education,Higher,... if she goes out without telling him,0.3
234,Albania,F,Education,No education,... if she goes out without telling him,14.9
235,Albania,F,Education,Primary,... if she goes out without telling him,6.9
236,Albania,F,Education,Secondary,... if she goes out without telling him,2.4
237,Albania,F,Education,Higher,... if she neglects the children,1.1
238,Albania,F,Education,No education,... if she neglects the children,21.1
239,Albania,F,Education,Primary,... if she neglects the children,8.6
240,Albania,F,Education,Secondary,... if she neglects the children,4.2
241,Albania,F,Education,Higher,... if she refuses to have sex with him,0.1
242,Albania,F,Education,No education,... if she refuses to have sex with him,6.3
243,Albania,F,Education,Primary,... if she refuses to have sex with him,1.5
244,Albania,F,Education,Secondary,... if she refuses to have sex with him,0.6
245,Albania,F,Employment,Employed for cash,... for at least one specific reason,4.1
246,Albania,F,Employment,Employed for kind,... for at least one specific reason,17.0
247,Albania,F,Employment,Unemployed,... for at least one specific reason,7.6
248,Albania,F,Employment,Employed for cash,... if she argues with him,1.2
249,Albania,F,Employment,Employed for kind,... if she argues with him,6.9
250,Albania,F,Employment,Unemployed,... if she argues with him,1.7
251,Albania,F,Employment,Employed for cash,... if she goes out without telling him,1.8
252,Albania,F,Employment,Employed for kind,... if she goes out without telling him,8.9
253,Albania,F,Employment,Unemployed,... if she goes out without telling him,4.4
254,Albania,F,Employment,Employed for cash,... if she neglects the children,3.2
255,Albania,F,Employment,Employed for kind,... if she neglects the children,13.6
256,Albania,F,Employment,Unemployed,... if she neglects the children,5.8
257,Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,0.7
258,Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,3.0
259,Albania,F,Employment,Unemployed,... if she refuses to have sex with him,0.8
260,Albania,F,Marital status,Married or living together,... for at least one specific reason,7.9
261,Albania,F,Marital status,Never married,... for at least one specific reason,4.3
262,Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,7.0
263,Albania,F,Marital status,Married or living together,... if she argues with him,2.0
264,Albania,F,Marital status,Never married,... if she argues with him,1.1
265,Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,3.4
266,Albania,F,Marital status,Married or living together,... if she goes out without telling him,4.6
267,Albania,F,Marital status,Never married,... if she goes out without telling him,1.7
268,Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2.3
269,Albania,F,Marital status,Married or living together,... if she neglects the children,6.1
270,Albania,F,Marital status,Never married,... if she neglects the children,3.2
271,Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,5.1
272,Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,1.0
273,Albania,F,Marital status,Never married,... if she refuses to have sex with him,0.5
274,Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1.1
275,Albania,F,Residence,Rural,... for at least one specific reason,10.3
276,Albania,F,Residence,Urban,... for at least one specific reason,4.5
277,Albania,F,Residence,Rural,... if she argues with him,3.1
278,Albania,F,Residence,Urban,... if she argues with him,0.9
279,Albania,F,Residence,Rural,... if she goes out without telling him,5.7
280,Albania,F,Residence,Urban,... if she goes out without telling him,2.3
281,Albania,F,Residence,Rural,... if she neglects the children,7.7
282,Albania,F,Residence,Urban,... if she neglects the children,3.6
283,Albania,F,Residence,Rural,... if she refuses to have sex with him,1.6
284,Albania,F,Residence,Urban,... if she refuses to have sex with him,0.5
285,Albania,M,Age,15-24,... for at least one specific reason,10.9
286,Albania,M,Age,25-34,... for at least one specific reason,11.3
287,Albania,M,Age,35-49,... for at least one specific reason,11.8
288,Albania,M,Age,15-24,... if she argues with him,4.4
289,Albania,M,Age,25-34,... if she argues with him,3.5
290,Albania,M,Age,35-49,... if she argues with him,4.2
291,Albania,M,Age,15-24,... if she goes out without telling him,5.3
292,Albania,M,Age,25-34,... if she goes out without telling him,6.1
293,Albania,M,Age,35-49,... if she goes out without telling him,7.8
294,Albania,M,Age,15-24,... if she neglects the children,7.1
295,Albania,M,Age,25-34,... if she neglects the children,8.6
296,Albania,M,Age,35-49,... if she neglects the children,8.3
297,Albania,M,Age,15-24,... if she refuses to have sex with him,3.0
298,Albania,M,Age,25-34,... if she refuses to have sex with him,2.5
299,Albania,M,Age,35-49,... if she refuses to have sex with him,1.1
300,Albania,M,Education,Higher,... for at least one specific reason,5.4
301,Albania,M,Education,No education,... for at least one specific reason,26.6
302,Albania,M,Education,Primary,... for at least one specific reason,14.6
303,Albania,M,Education,Secondary,... for at least one specific reason,11.2
304,Albania,M,Education,Higher,... if she argues with him,2.2
305,Albania,M,Education,No education,... if she argues with him,15.3
306,Albania,M,Education,Primary,... if she argues with him,5.9
307,Albania,M,Education,Secondary,... if she argues with him,3.2
308,Albania,M,Education,Higher,... if she goes out without telling him,2.7
309,Albania,M,Education,No education,... if she goes out without telling him,25.4
310,Albania,M,Education,Primary,... if she goes out without telling him,9.0
311,Albania,M,Education,Secondary,... if she goes out without telling him,5.9
312,Albania,M,Education,Higher,... if she neglects the children,3.8
313,Albania,M,Education,No education,... if she neglects the children,22.3
314,Albania,M,Education,Primary,... if she neglects the children,9.6
315,Albania,M,Education,Secondary,... if she neglects the children,8.4
316,Albania,M,Education,Higher,... if she refuses to have sex with him,0.7
317,Albania,M,Education,No education,... if she refuses to have sex with him,13.8
318,Albania,M,Education,Primary,... if she refuses to have sex with him,3.1
319,Albania,M,Education,Secondary,... if she refuses to have sex with him,1.7
320,Albania,M,Employment,Employed for cash,... for at least one specific reason,10.8
321,Albania,M,Employment,Employed for kind,... for at least one specific reason,9.6
322,Albania,M,Employment,Unemployed,... for at least one specific reason,12.4
323,Albania,M,Employment,Employed for cash,... if she argues with him,3.4
324,Albania,M,Employment,Employed for kind,... if she argues with him,3.6
325,Albania,M,Employment,Unemployed,... if she argues with him,5.0
326,Albania,M,Employment,Employed for cash,... if she goes out without telling him,7.2
327,Albania,M,Employment,Employed for kind,... if she goes out without telling him,6.2
328,Albania,M,Employment,Unemployed,... if she goes out without telling him,5.6
329,Albania,M,Employment,Employed for cash,... if she neglects the children,7.5
330,Albania,M,Employment,Employed for kind,... if she neglects the children,5.5
331,Albania,M,Employment,Unemployed,... if she neglects the children,9.1
332,Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,1.3
333,Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,0.9
334,Albania,M,Employment,Unemployed,... if she refuses to have sex with him,3.5
335,Albania,M,Marital status,Married or living together,... for at least one specific reason,11.7
336,Albania,M,Marital status,Never married,... for at least one specific reason,10.6
337,Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,29.7
338,Albania,M,Marital status,Married or living together,... if she argues with him,4.1
339,Albania,M,Marital status,Never married,... if she argues with him,3.8
340,Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,13.1
341,Albania,M,Marital status,Married or living together,... if she goes out without telling him,7.7
342,Albania,M,Marital status,Never married,... if she goes out without telling him,5.1
343,Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,16.7
344,Albania,M,Marital status,Married or living together,... if she neglects the children,8.5
345,Albania,M,Marital status,Never married,... if she neglects the children,7.2
346,Albania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,24.5
347,Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,1.3
348,Albania,M,Marital status,Never married,... if she refuses to have sex with him,2.8
349,Albania,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,4.6
350,Albania,M,Residence,Rural,... for at least one specific reason,12.9
351,Albania,M,Residence,Urban,... for at least one specific reason,10.2
352,Albania,M,Residence,Rural,... if she argues with him,3.2
353,Albania,M,Residence,Urban,... if she argues with him,4.7
354,Albania,M,Residence,Rural,... if she goes out without telling him,7.4
355,Albania,M,Residence,Urban,... if she goes out without telling him,5.9
356,Albania,M,Residence,Rural,... if she neglects the children,8.9
357,Albania,M,Residence,Urban,... if she neglects the children,7.4
358,Albania,M,Residence,Rural,... if she refuses to have sex with him,2.2
359,Albania,M,Residence,Urban,... if she refuses to have sex with him,2.0
360,Angola,F,Education,Higher,... if she burns the food,0.9
361,Angola,F,Education,Secondary,... if she burns the food,5.3
362,Angola,F,Residence,Urban,... if she burns the food,6.9
363,Angola,F,Employment,Unemployed,... if she burns the food,8.8
364,Angola,F,Marital status,Never married,... if she burns the food,9.8
365,Angola,F,Employment,Employed for cash,... if she burns the food,9.9
366,Angola,F,Age,25-34,... if she burns the food,10.0
367,Angola,F,Age,15-24,... if she burns the food,10.6
368,Angola,F,Marital status,Married or living together,... if she burns the food,10.8
369,Angola,F,Age,35-49,... if she burns the food,11.0
370,Angola,F,Marital status,"Widowed, divorced, separated",... if she burns the food,12.2
371,Angola,F,Education,Primary,... if she burns the food,13.4
372,Angola,F,Employment,Employed for kind,... if she burns the food,14.3
373,Angola,F,Education,No education,... if she burns the food,17.3
374,Angola,F,Residence,Rural,... if she burns the food,19.0
375,Angola,M,Education,Higher,... if she burns the food,0.7
376,Angola,M,Age,35-49,... if she burns the food,3.7
377,Angola,M,Marital status,Married or living together,... if she burns the food,4.4
378,Angola,M,Residence,Urban,... if she burns the food,4.9
379,Angola,M,Education,Secondary,... if she burns the food,5.0
380,Angola,M,Age,25-34,... if she burns the food,5.3
381,Angola,M,Employment,Employed for cash,... if she burns the food,5.5
382,Angola,M,Employment,Unemployed,... if she burns the food,6.1
383,Angola,M,Marital status,Never married,... if she burns the food,7.3
384,Angola,M,Age,15-24,... if she burns the food,7.7
385,Angola,M,Employment,Employed for kind,... if she burns the food,7.9
386,Angola,M,Education,Primary,... if she burns the food,8.1
387,Angola,M,Residence,Rural,... if she burns the food,8.9
388,Angola,M,Marital status,"Widowed, divorced, separated",... if she burns the food,9.3
389,Angola,M,Education,No education,... if she burns the food,10.8
390,Angola,F,Age,15-24,... for at least one specific reason,24.9
391,Angola,F,Age,25-34,... for at least one specific reason,24.4
392,Angola,F,Age,35-49,... for at least one specific reason,26.6
393,Angola,F,Age,15-24,... if she argues with him,14.9
394,Angola,F,Age,25-34,... if she argues with him,14.1
395,Angola,F,Age,35-49,... if she argues with him,17.1
396,Angola,F,Age,15-24,... if she goes out without telling him,13.8
397,Angola,F,Age,25-34,... if she goes out without telling him,14.0
398,Angola,F,Age,35-49,... if she goes out without telling him,16.3
399,Angola,F,Age,15-24,... if she neglects the children,16.5
400,Angola,F,Age,25-34,... if she neglects the children,15.6
401,Angola,F,Age,35-49,... if she neglects the children,16.7
402,Angola,F,Age,15-24,... if she refuses to have sex with him,10.0
403,Angola,F,Age,25-34,... if she refuses to have sex with him,11.6
404,Angola,F,Age,35-49,... if she refuses to have sex with him,14.0
405,Angola,F,Education,Higher,... for at least one specific reason,7.0
406,Angola,F,Education,No education,... for at least one specific reason,34.5
407,Angola,F,Education,Primary,... for at least one specific reason,30.9
408,Angola,F,Education,Secondary,... for at least one specific reason,16.8
409,Angola,F,Education,Higher,... if she argues with him,3.0
410,Angola,F,Education,No education,... if she argues with him,23.9
411,Angola,F,Education,Primary,... if she argues with him,19.1
412,Angola,F,Education,Secondary,... if she argues with him,8.2
413,Angola,F,Education,Higher,... if she goes out without telling him,2.8
414,Angola,F,Education,No education,... if she goes out without telling him,21.0
415,Angola,F,Education,Primary,... if she goes out without telling him,18.5
416,Angola,F,Education,Secondary,... if she goes out without telling him,8.5
417,Angola,F,Education,Higher,... if she neglects the children,4.2
418,Angola,F,Education,No education,... if she neglects the children,22.3
419,Angola,F,Education,Primary,... if she neglects the children,20.1
420,Angola,F,Education,Secondary,... if she neglects the children,10.8
421,Angola,F,Education,Higher,... if she refuses to have sex with him,2.5
422,Angola,F,Education,No education,... if she refuses to have sex with him,19.9
423,Angola,F,Education,Primary,... if she refuses to have sex with him,14.2
424,Angola,F,Education,Secondary,... if she refuses to have sex with him,5.3
425,Angola,F,Employment,Employed for cash,... for at least one specific reason,26.6
426,Angola,F,Employment,Employed for kind,... for at least one specific reason,28.4
427,Angola,F,Employment,Unemployed,... for at least one specific reason,21.3
428,Angola,F,Employment,Employed for cash,... if she argues with him,16.1
429,Angola,F,Employment,Employed for kind,... if she argues with him,19.1
